A1,8.69E+12,1,71001,80901,0,0,0,0,0,0,0,0
Y2301040101,管据付                                ,          ,                                        ,                                        ,                                        ,,,0,0,,,
S8555      ,鋳鉄管据付　　　　　　　　　　　　　　　,ｍ        ,                                        ,                                        ,；水道編                                ,,,638.1,638.1,,,
S8556      ,鋼管据付　　　　　　　　　　　　　　　　,ｍ        ,                                        ,                                        ,；水道編                                ,,,459.3,459.3,,,
Y2301040102,管撤去                                ,          ,                                        ,                                        ,                                        ,,,0,0,,,
S8556      ,鋼管撤去　　　　　　　　　　　　　　　　,ｍ        ,                                        ,                                        ,；水道編                                ,,,1023.4,1023.4,,,
Y23010402  ,管継手・取りはずし工                  ,          ,                                        ,                                        ,                                        ,,,0,0,,,
Y2301040206,ＧＸ形管継手                          ,          ,                                        ,                                        ,                                        ,,,0,0,,,
S8560      ,管継手　　　　　　　　　　　　　　　　　,箇所      ,                                        ,                                        ,；水道編                                ,,,114,114,,,
S8560      ,管継手　　　　　　　　　　　　　　　　　,箇所      ,                                        ,                                        ,；水道編                                ,,,100,100,,,
Y2301040213,現場溶接                              ,          ,                                        ,                                        ,                                        ,,,0,0,,,
V2502      ,／ステンレス鋼管溶接工                  ,箇所      ,400A×t6.0                              ,ジョイントコート含む                    ,；必携                                  ,,,149,149,,,
Y23010403  ,管切断・挿口加工                      ,          ,                                        ,                                        ,                                        ,,,0,0,,,
Y2301040302,鋳鉄管切断(ＧＸ形)                    ,          ,                                        ,                                        ,                                        ,,,0,0,,,
S8565      ,鋳鉄管切断工                            ,箇所      ,                                        ,                                        ,；水道編                                ,,,48,48,,,
Y2301040307,鋼管切断(撤去管)                      ,          ,                                        ,                                        ,                                        ,,,0,0,,,
S8567      ,鋼管切断工                              ,箇所      ,                                        ,                                        ,；水道編                                ,,,171,171,,,
Y2301040310,GX形挿口加工                          ,          ,                                        ,                                        ,                                        ,,,0,0,,,
S8590      ,ＧＸ形挿口加工費                        ,箇所      ,                                        ,                                        ,；水道編                                ,,,50,50,,,
Y23010409  ,運搬工                                ,          ,                                        ,                                        ,                                        ,,,0,0,,,
Y2301040901,現場発生品運搬                        ,          ,                                        ,                                        ,                                        ,,,0,0,,,
G0002      ,／現場発生品運搬                        ,式        ,；現場～西部建設事務所　L=2.1km         ,撤去管・残管・仕切弁等                  ,積込・取り卸し含む                      ,,,1,1,,,
G0012      ,／廃プラスチック運搬処分                ,式        ,現場～環境保全センター　L=14.9km        ,処分費含む                              ,積込・取り卸し含む                      ,,,1,1,,,
Y230107    ,付帯工                                ,式        ,                                        ,                                        ,                                        ,,,1,1,,,
Y23010701  ,舗装撤去工                            ,          ,                                        ,                                        ,                                        ,,,0,0,,,
Y2301070101,舗装版切断                            ,          ,                                        ,                                        ,                                        ,,,0,0,,,
SCB430510  ,舗装版切断                              ,m         ,                                        ,                                        ,；04/03/03                              ,,,650,650,,,
Y2301070102,舗装版破砕                            ,          ,                                        ,                                        ,                                        ,,,0,0,,,
SCB430310  ,舗装版破砕                              ,m2        ,                                        ,                                        ,；04/03/02                              ,,,6060,6060,,,
